iter	Passed	Remaining
611	4913	3115
612	4916	3104
613	4920	3093
614	4923	3082
615	4927	3071
616	4930	3060
617	4934	3049
618	4937	3039
619	4941	3028
620	4944	3017
621	4947	3006
622	4951	2996
623	4954	2985
624	4957	2974
625	4961	2964
626	4964	2953
627	4967	2942
628	4971	2932
629	4974	2921
630	4978	2911
631	4981	2900
632	4985	2890
633	4988	2879
634	4991	2869
635	4995	2858
636	4998	2848
637	5002	2838
638	5005	2827
639	5009	2817
640	5012	2807
641	5015	2796
642	5019	2786
643	5022	2776
644	5025	2766
645	5029	2756
646	5032	2745
647	5036	2735
648	5039	2725
649	5043	2715
650	5046	2705
651	5049	2695
652	5053	2685
653	5056	2675
654	5059	2665
655	5063	2655
656	5066	2645
657	5070	2635
658	5073	2625
659	5077	2615
660	5080	2605
661	5083	2595
662	5087	2585
663	5090	2575
664	5093	2566
665	5097	2556
666	5100	2546
667	5104	2536
668	5107	2526
669	5111	2517
670	5114	2507
671	5117	2497
672	5121	2488
673	5124	2478
674	5128	2469
675	5131	2459
676	5135	2449
677	5138	2440
678	5141	2430
679	5145	2421
680	5148	2411
681	5151	2402
682	5155	2392
683	5158	2383
684	5162	2373
685	5165	2364
686	5169	2355
687	5172	2345
688	5175	2336
689	5179	2326
690	5182	2317
691	5185	2308
692	5189	2298
693	5192	2289
694	5196	2280
695	5199	2271
696	5202	2261
697	5206	2252
698	5209	2243
699	5212	2234
700	5216	2224
701	5220	2216
702	5223	2206
703	5227	2197
704	5230	2188
705	5233	2179
706	5237	2170
707	5240	2161
708	5244	2152
709	5247	2143
710	5250	2134
711	5254	2125
712	5258	2116
713	5261	2107
714	5264	2098
715	5268	2089
716	5271	2080
717	5274	2071
718	5278	2062
719	5281	2053
720	5284	2045
721	5288	2036
722	5291	2027
723	5295	2018
724	5298	2009
725	5301	2000
726	5305	1992
727	5308	1983
728	5311	1974
729	5315	1966
730	5318	1957
731	5322	1948
732	5325	1939
733	5328	1931
734	5332	1922
735	5335	1913
736	5338	1905
737	5342	1896
738	5345	1887
739	5348	1879
740	5352	1870
741	5355	1862
742	5359	1853
743	5362	1845
744	5366	1836
745	5369	1828
746	5372	1819
747	5376	1811
748	5379	1802
749	5383	1794
750	5386	1786
751	5390	1777
752	5393	1769
753	5397	1760
754	5400	1752
755	5404	1744
756	5407	1735
757	5410	1727
758	5414	1719
759	5417	1710
760	5421	1702
761	5424	1694
762	5427	1686
763	5431	1677
764	5434	1669
765	5438	1661
766	5441	1653
767	5444	1644
768	5448	1636
769	5451	1628
770	5455	1620
771	5458	1612
772	5461	1603
773	5465	1595
774	5468	1587
775	5472	1579
776	5475	1571
777	5478	1563
778	5482	1555
779	5485	1547
780	5488	1539
781	5492	1531
782	5495	1523
783	5499	1515
784	5502	1507
785	5505	1499
786	5509	1491
787	5512	1483
788	5515	1475
789	5519	1467
790	5522	1459
791	5525	1451
792	5529	1443
793	5532	1435
794	5536	1427
795	5539	1419
796	5542	1411
797	5546	1403
798	5549	1396
799	5553	1388
800	5556	1380
801	5561	1372
802	5564	1365
803	5567	1357
804	5571	1349
805	5574	1341
806	5578	1334
807	5582	1326
808	5585	1318
809	5588	1310
810	5592	1303
811	5595	1295
812	5598	1287
813	5602	1280
814	5605	1272
815	5609	1264
816	5612	1257
817	5615	1249
818	5619	1241
819	5623	1234
820	5626	1226
821	5629	1219
822	5633	1211
823	5636	1203
824	5639	1196
825	5643	1188
826	5646	1181
827	5649	1173
828	5653	1166
829	5656	1158
830	5660	1151
831	5663	1143
832	5666	1136
833	5670	1128
834	5673	1121
835	5677	1113
836	5680	1106
837	5684	1098
838	5687	1091
839	5690	1083
840	5694	1076
841	5697	1069
842	5701	1061
843	5704	1054
844	5707	1046
845	5711	1039
846	5714	1032
847	5717	1024
848	5721	1017
849	5724	1010
850	5728	1002
851	5731	995
852	5734	988
853	5738	981
854	5741	973
855	5745	966
856	5748	959
857	5751	951
858	5755	944
859	5758	937
860	5761	930
861	5765	922
862	5768	915
863	5772	908
864	5775	901
865	5779	894
866	5782	887
867	5785	879
868	5789	872
869	5792	865
870	5795	858
871	5799	851
872	5802	844
873	5806	837
874	5809	829
875	5813	822
876	5816	815
877	5819	808
878	5823	801
879	5826	794
880	5830	787
881	5833	780
882	5837	773
883	5840	766
884	5844	759
885	5847	752
886	5850	745
887	5854	738
888	5857	731
889	5860	724
890	5864	717
891	5867	710
892	5870	703
893	5874	696
894	5877	689
895	5881	682
896	5884	675
897	5888	668
898	5891	661
899	5894	654
900	5898	648
901	5901	641
902	5904	634
903	5908	627
904	5911	620
905	5915	613
906	5918	606
907	5922	600
908	5925	593
909	5928	586
910	5932	579
911	5935	572
912	5938	565
913	5942	559
914	5945	552
915	5949	545
916	5952	538
917	5955	531
918	5959	525
919	5962	518
920	5966	511
921	5969	504
922	5972	498
923	5976	491
924	5979	484
925	5983	478
926	5986	471
927	5989	464
928	5993	458
929	5996	451
930	5999	444
931	6003	438
932	6006	431
933	6010	424
934	6013	418
935	6017	411
936	6020	404
937	6023	398
938	6027	391
939	6030	384
940	6034	378
941	6037	371
942	6041	365
943	6044	358
944	6047	351
945	6051	345
946	6054	338
947	6057	332
948	6061	325
949	6064	319
950	6068	312
951	6071	306
952	6074	299
953	6078	293
954	6081	286
955	6085	280
956	6088	273
957	6091	267
958	6095	260
959	6098	254
960	6102	247
961	6105	241
962	6109	234
963	6112	228
964	6115	221
965	6119	215
966	6122	208
967	6125	202
968	6129	196
969	6132	189
970	6136	183
971	6139	176
972	6142	170
973	6146	164
974	6149	157
975	6153	151
976	6156	144
977	6160	138
978	6163	132
979	6166	125
980	6170	119
981	6173	113
982	6176	106
983	6180	100
984	6183	94
985	6187	87
986	6190	81
987	6194	75
988	6197	68
989	6200	62
990	6204	56
991	6207	50
992	6210	43
993	6214	37
994	6217	31
995	6221	24
996	6224	18
997	6227	12
998	6231	6
999	6234	0
